District Number,District Name,School Number,School Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2016-17,College and Career Acceleration 2016-17,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students,Region
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,56,57,32,55,52,33,60,,,,,345,7,49,100,C,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,N,,NO,YES,N,01,65.6,81.3,0
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,64,55,28,67,59,33,66,,,,,372,7,53,99,C,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,C,C,A,C,N,,NO,YES,N,01,69,100,0
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,30,43,55,35,40,41,19,,,,,263,7,38,100,D,C,F,F,F,F,F,D,C,C,B,C,C,C,B,C,C,C,C,D,N,,NO,YES,N,01,90.6,100,0
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,58,51,47,64,62,42,58,,,,,382,7,55,99,B,C,B,B,B,A,A,A,A,A,A,A,C,B,B,A,A,B,B,B,N,,NO,YES,N,01,58,94,0
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,24,39,40,32,48,42,38,,,,,263,7,38,100,D,D,C,D,C,D,F,D,C,C,A,F,C,D,C,B,D,D,C,D,N,,NO,YES,N,01,94.6,100,0
01,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,47,57,47,47,43,25,44,,,,,310,7,44,100,C,C,B,C,C,D,C,C,C,A,C,A,A,C,B,C,C,D,D,D,N,,NO,YES,N,01,91.1,100,0
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,59,59,28,56,59,33,53,71,86,,,504,9,56,98,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,A,A,A,A,C,N,,NO,NO,N,02,78.6,88.7,0
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,58,58,44,57,62,41,57,65,83,,,525,9,58,98,B,B,B,B,C,B,B,A,A,A,A,B,A,B,A,A,A,A,B,C,N,,NO,NO,N,02,70.4,100,0
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,55,55,35,57,61,46,54,64,76,,,503,9,56,100,B,B,C,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,C,N,,NO,NO,N,02,61.1,99.9,0
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,60,59,40,46,48,41,69,75,,90,59,587,10,59,96,B,B,B,A,A,A,A,B,B,D,B,C,D,D,C,B,B,C,C,C,N,,NO,NO,N,03,58.4,58.9,0
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,35,35,35,38,31,29,37,,,,,240,7,34,100,D,C,C,C,D,C,D,C,B,A,B,A,C,C,A,B,B,C,C,C,N,,NO,YES,N,01,59.6,100,0
01,ALACHUA,0171,ARCHER ELEMENTARY,63,60,42,67,66,42,67,,,,,407,7,58,100,B,B,B,A,B,B,A,A,B,A,C,A,A,B,B,B,C,B,C,D,N,,NO,YES,N,01,42.3,98,0
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,,,,,,,,,,,,,,,,I,D,D,D,F,F,D,C,D,D,C,F,D,D,D,C,C,A,C,C,N,,NO,NO,N,04,45.2,100,0
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,49,51,36,50,52,34,40,66,87,,,465,9,52,100,C,C,C,B,D,D,C,B,B,C,A,B,A,B,A,A,B,A,A,C,N,,NO,NO,N,02,50.4,100,0
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,53,54,53,42,35,32,67,77,,97,47,557,10,56,98,B,C,B,A,A,A,B,A,B,C,C,B,C,C,C,C,B,C,C,C,N,,NO,NO,N,03,36.4,58.2,0
